iter	Logloss
0	0.5615523646
1	0.4709295936
2	0.3953519056
3	0.3444013593
4	0.301407138
5	0.2623675779
6	0.2323320297
7	0.2112931932
8	0.1906705337
9	0.1685143773
10	0.1538074151
11	0.1423142185
12	0.1326306088
13	0.1234776571
14	0.1154585337
15	0.108408309
16	0.1019855424
17	0.09567715748
18	0.08824758927
19	0.08427372241
20	0.07770616608
21	0.07589573973
22	0.0717280768
23	0.06850146184
24	0.06484531756
25	0.06231557603
26	0.05940826019
27	0.0571122317
28	0.05560711871
29	0.05287634996
30	0.0512168527
31	0.04929993563
32	0.0473768505
33	0.04574434934
34	0.04468115074
35	0.04312149408
36	0.04216182845
37	0.04064888724
38	0.04017650942
39	0.03858584071
40	0.03722186195
41	0.0358799285
42	0.03497498486
43	0.03420781035
44	0.03341017197
45	0.032402203
46	0.03155018464
47	0.03112526937
48	0.03054497159
49	0.02967290255
50	0.02898815212
51	0.02815662526
52	0.02727360853
53	0.0260878479
54	0.02550974718
55	0.02435299649
56	0.02365221509
57	0.02313774506
58	0.02269553917
59	0.02213026998
60	0.02148551828
61	0.0207903812
62	0.02030869592
63	0.02005513453
64	0.01943772627
65	0.01887421826
66	0.01868571549
67	0.01803465182
68	0.01765311357
69	0.01719716268
70	0.01693757339
71	0.01688296627
72	0.01646622865
73	0.01616518556
74	0.01580326856
75	0.01566857531
76	0.01536942626
77	0.01506381628
78	0.01483515635
79	0.01458029528
80	0.0144914048
81	0.01431057594
82	0.01424622231
83	0.01386397858
84	0.01363819039
85	0.01324608315
86	0.01305504962
87	0.01279872474
88	0.0126357499
89	0.01259627676
90	0.01239020162
91	0.01221253537
92	0.01212005945
93	0.01201961716
94	0.01199866297
95	0.0119755386
96	0.01183731234
97	0.01171231502
98	0.01151328547
99	0.01137555784
100	0.01118287087
101	0.01104241181
102	0.01092215567
103	0.01083647989
104	0.01073368474
105	0.01071786737
106	0.01063158807
107	0.01044695359
108	0.0103831731
109	0.0103684378
110	0.01024053494
111	0.01021962516
112	0.01010195604
